Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"64 Grant Avenue, Rose Park",https://www.realestate.com.au/property-house-sa-rose+park-147414564,2000000,2200000,House,2,3,2,Adelaide,-34.93204682476401,138.63079204873065,87b916823ffffff
"3/50 Chatham Road, Keswick",https://www.realestate.com.au/property-unit-sa-keswick-147406892,490000,530000,Unit,1,2,1,Adelaide,-34.94349100148551,138.57472762883233,87b916828ffffff
"103/10 Railway Terrace, Mile End",https://www.realestate.com.au/property-apartment-sa-mile+end-147003356,1269000,1269000,Apartment,2,3,2,Adelaide,-34.930908579991225,138.57658800233224,87b916828ffffff
"12a River Street, St Peters",https://www.realestate.com.au/property-house-sa-st+peters-146853756,2375000,2500000,House,2,3,2,Adelaide,-34.90421379667429,138.61901522520205,87b916805ffffff
"305/170 The Parade, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-145922856,650000,650000,Apartment,1,1,1,Adelaide,-34.9217095959481,138.62364435194573,87b916823ffffff
"27B Joslin Street, Wayville",https://www.realestate.com.au/property-other-sa-wayville-147116940,1790000,1890000,Other,3,4,2,Adelaide,-34.94415268484504,138.59268908963915,87b91682cffffff
"27 Cambridge Street, North Adelaide",https://www.realestate.com.au/property-house-sa-north+adelaide-146983560,1150000,1225000,House,1,3,1,Adelaide,-34.907221200933584,138.5935722973899,87b91682affffff
"14 George Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147106472,2700000,2900000,House,4,4,4,Adelaide,-34.92572555265195,138.63694941386325,87b916823ffffff
"31 Cedar Crescent, Glenside",https://www.realestate.com.au/property-house-sa-glenside-147248252,1200000,1200000,House,2,3,2,Adelaide,-34.94322756346612,138.63066908446226,87b916823ffffff
"14/2 Kyle Street, Glenside",https://www.realestate.com.au/property-unit-sa-glenside-147388912,535000,535000,Unit,1,1,1,Adelaide,-34.94409393194697,138.63920632548465,87b916820ffffff
"28 Jaffrey Street, Parkside",https://www.realestate.com.au/property-house-sa-parkside-147178468,2175000,2175000,House,2,4,4,Adelaide,-34.942426095588885,138.61387287196422,87b916821ffffff
"8/3 Little Grenfell Street, Kent Town",https://www.realestate.com.au/property-townhouse-sa-kent+town-146317464,950000,950000,Townhouse,2,3,2,Adelaide,-34.91971623697969,138.62115567025674,87b916805ffffff
"4 Esmond Street, Hyde Park",https://www.realestate.com.au/property-house-sa-hyde+park-146636596,1550000,1550000,House,2,3,2,Adelaide,-34.95631138443179,138.60507960177588,87b916821ffffff
"06/3 Fifth Street, Bowden",https://www.realestate.com.au/property-apartment-sa-bowden-147240460,580000,620000,Apartment,1,2,1,Adelaide,-34.90541755,138.57912770000002,87b91682affffff
"3 Somerset Place, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147089092,1200000,1200000,House,1,3,2,Adelaide,-34.9233229,138.6303347,87b916823ffffff
"2/64A Second Avenue, St Peters",https://www.realestate.com.au/property-unit-sa-st+peters-147273776,530000,570000,Unit,1,2,1,Adelaide,-34.90279286703382,138.63016779356192,87b916804ffffff
"39 Henley Street, Mile End",https://www.realestate.com.au/property-house-sa-mile+end-147285712,1175000,1175000,House,1,3,1,Adelaide,-34.926512306471345,138.56007822902927,87b91682bffffff
"49 Hill Street, Parkside",https://www.realestate.com.au/property-house-sa-parkside-146964456,1150000,1150000,House,1,2,4,Adelaide,-34.94772420988892,138.61875028182294,87b916821ffffff
"11 Alfred Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-146962572,3400000,3740000,House,6,6,2,Adelaide,-34.92595035,138.6315036,87b916823ffffff
"802/1 George Street, Parkside",https://www.realestate.com.au/property-apartment-sa-parkside-147062916,1175000,1275000,Apartment,2,3,2,Adelaide,-34.94328198106028,138.61293530312867,87b916821ffffff
"1/54 Essex Street, Goodwood",https://www.realestate.com.au/property-unit-sa-goodwood-147228272,575000,575000,Unit,1,2,1,Adelaide,-34.95239644899478,138.58713669838988,87b91682cffffff
"1/103 Kenilworth Road, Parkside",https://www.realestate.com.au/property-unit-sa-parkside-147367308,680000,730000,Unit,1,2,2,Adelaide,-34.95081648331249,138.6215860583834,87b916821ffffff
"17/103 Strangways Terrace, North Adelaide",https://www.realestate.com.au/property-unit-sa-north+adelaide-147048120,720000,720000,Unit,1,2,1,Adelaide,-34.91117546332642,138.5855880447047,87b91682affffff
"85 Jeffcott Street, North Adelaide",https://www.realestate.com.au/property-house-sa-north+adelaide-146614792,2150000,2150000,House,2,3,2,Adelaide,-34.91251299291792,138.59343737856236,87b91682affffff
"8/45 King William Road, North Adelaide",https://www.realestate.com.au/property-apartment-sa-north+adelaide-138112334,290000,290000,Apartment,1,1,0,Adelaide,-34.909670592304415,138.59728130064968,87b91682affffff
"89 Jeffcott Street, North Adelaide",https://www.realestate.com.au/property-house-sa-north+adelaide-146614504,2550000,2550000,House,2,4,2,Adelaide,-34.91251299291792,138.59343737856236,87b91682affffff
"1A Le Hunte Street, Wayville",https://www.realestate.com.au/property-house-sa-wayville-147361648,1300000,1300000,House,2,3,2,Adelaide,-34.946505837472344,138.5948074443781,87b91682cffffff
"18A Player Court, St Peters",https://www.realestate.com.au/property-house-sa-st+peters-141672032,2790000,2950000,House,2,4,2,Adelaide,-34.901940468836074,138.61565750642905,87b916805ffffff
"603/14 Sixth Street, Bowden",https://www.realestate.com.au/property-apartment-sa-bowden-147216800,670000,695000,Apartment,2,2,1,Adelaide,-34.905332267561484,138.58029818844696,87b91682affffff
"24 Harrow Road, College Park",https://www.realestate.com.au/property-house-sa-college+park-147361164,1750000,1750000,House,1,3,1,Adelaide,-34.91058265667106,138.62125886861705,87b916805ffffff
"3/122 Barton Terrace West, North Adelaide",https://www.realestate.com.au/property-unit-sa-north+adelaide-146589176,850000,900000,Unit,1,2,1,Adelaide,-34.90248274705419,138.5922104524899,87b916801ffffff
"22/11 Pennington Terrace, North Adelaide",https://www.realestate.com.au/property-unit-sa-north+adelaide-147356668,790000,850000,Unit,1,2,1,Adelaide,-34.91332961672455,138.59882696626576,87b91682affffff
"27 Kyle Street, Glenside",https://www.realestate.com.au/property-duplex+semi-detached-sa-glenside-147320620,1200000,1320000,Duplex,1,2,1,Adelaide,-34.94409393194697,138.63920632548465,87b916820ffffff
"6/30 College Road, Kent Town",https://www.realestate.com.au/property-unit-sa-kent+town-147348856,499000,548000,Unit,1,2,2,Adelaide,-34.92020863178336,138.6209415510286,87b916805ffffff
"10 Margaret Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147063972,1280000,1400000,House,1,3,0,Adelaide,-34.92203705,138.6379232,87b916823ffffff
