"SourceIndex","DestinationIndex","CityCode","DurationCycle","DurationDrive","DurationTransit","DurationWalk"
"87b916811ffffff","87b916826ffffff","Adelaide","3798","1297","7267","11875"
"87b916811ffffff","87b916828ffffff","Adelaide","3209","1608","4433","11520"
"87b916811ffffff","87b916829ffffff","Adelaide","3813","1767","4558","13866"
"87b916811ffffff","87b91682affffff","Adelaide","2679","1156","3680","9145"
"87b916811ffffff","87b91682bffffff","Adelaide","3205","1255","4721","10781"
"87b916811ffffff","87b91682cffffff","Adelaide","3447","1772","4324","12566"
"87b916811ffffff","87b91682dffffff","Adelaide","3866","1720","3812","13827"
"87b916811ffffff","87b91682effffff","Adelaide","2848","1442","3587","10176"
"87b916811ffffff","87b916831ffffff","Adelaide","1807","868","4485","6899"
"87b916811ffffff","87b916833ffffff","Adelaide","1329","657","4006","4876"
"87b916811ffffff","87b916835ffffff","Adelaide","2709","1105","6029","9084"
"87b916811ffffff","87b916856ffffff","Adelaide","3739","1446","6495","11747"
"87b916811ffffff","87b916872ffffff","Adelaide","4311","1545","5335","13963"
"87b916811ffffff","87b916874ffffff","Adelaide","4586","1784","4721","15591"
"87b916811ffffff","87b916876ffffff","Adelaide","3919","1605","5252","13188"
"87b916811ffffff","87b916919ffffff","Adelaide","5595","2038","10230","17270"
"87b916811ffffff","87b916952ffffff","Adelaide","3855","1797","4671","14199"
"87b916811ffffff","87b916953ffffff","Adelaide","4088","1779","4341","15178"
"87b916811ffffff","87b916958ffffff","Adelaide","4768","2111","4846","17627"
"87b916811ffffff","87b91695affffff","Adelaide","4378","1934","4871","15775"
"87b916811ffffff","87b91695bffffff","Adelaide","5274","2139","5875","18554"
"87b916811ffffff","87b91695effffff","Adelaide","4439","1961","4240","16221"
"87b916953ffffff","87b916800ffffff","Adelaide","2881","1462","5444","10306"
"87b916953ffffff","87b916801ffffff","Adelaide","2608","1133","2777","9369"
"87b916953ffffff","87b916802ffffff","Adelaide","3444","1542","3628","12645"
"87b916953ffffff","87b916803ffffff","Adelaide","3222","1380","4302","11926"
"87b916953ffffff","87b916804ffffff","Adelaide","2395","1281","3764","9544"
"87b916953ffffff","87b916805ffffff","Adelaide","2205","1184","3259","7817"
"87b916953ffffff","87b916806ffffff","Adelaide","3279","1572","3395","11601"
"87b916953ffffff","87b916808ffffff","Adelaide","2953","1178","3177","10650"
"87b916953ffffff","87b916809ffffff","Adelaide","3177","1366","3768","11535"
"87b916953ffffff","87b91680affffff","Adelaide","3240","1080","4858","12044"
"87b916953ffffff","87b91680bffffff","Adelaide","3489","1411","4185","12854"
"87b916953ffffff","87b91680cffffff","Adelaide","2165","1052","4594","8330"
"87b916953ffffff","87b91680dffffff","Adelaide","2556","1085","3655","9341"
"87b916953ffffff","87b91680effffff","Adelaide","2919","1218","4566","10881"
"87b916953ffffff","87b916811ffffff","Adelaide","4088","1779","4341","15178"
"87b916953ffffff","87b916815ffffff","Adelaide","3690","1821","3384","14032"
"87b916953ffffff","87b91681cffffff","Adelaide","3744","1674","3704","13990"
"87b916953ffffff","87b91681dffffff","Adelaide","3405","1420","3513","13099"
