Address,URL,Lat,Lon
"102/248 Flinders Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147004972,-34.9264519,138.609757
"245 Gilbert Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147048280,-34.93488749999999,138.5912056
"606/23 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146927408,-34.9223273,138.5989768
"1701/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147048176,-34.9267486,138.5926948
"309/23 King William Street, Adelaide",https://www.realestate.com.au/property-studio-sa-adelaide-147185940,-34.9223981,138.5991284
"3206/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146125496,-34.9221943,138.6049172
"311/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147182908,-34.9267043,138.5943069
"403/12 Tapley Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147044756,-34.9338442,138.5997232
"295a - 297 Waymouth Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146570016,-34.9265574,138.5887221
"60 South Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145476148,-34.9358266,138.5928003
"2003/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145195100,-34.9221484,138.6048291
"3/326 Angas Street, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147161736,-34.9288491,138.6131609
"213/211 Grenfell Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147171860,-34.9242034,138.6090639
"101/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146110972,-34.9268426,138.5939777
"1308/297 Pirie Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146700792,-34.92546890000001,138.6107787
"238-240 Franklin Street, Adelaide",https://www.realestate.com.au/property-other-sa-adelaide-147166020,-34.9274163,138.590153
"1710/160 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147029516,-34.9286463,138.5925776
"1607/160 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147029508,-34.9286463,138.5925776
"805/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-140928208,-34.9221474,138.6049361
"1015/96 North Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147164096,-34.9222472,138.5947189
